mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id
1	1	0	0	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	0
1	1	2	2	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	1
1	1	3	3	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	2
1	1	0	0	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	3
1	1	2	2	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	4
1	1	3	3	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	5
1	1	0	0	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	6
1	1	2	2	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	7
1	1	3	3	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	8
1	1	0	0	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	9
1	1	2	2	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	10
1	1	3	3	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	11
2	2	4	4	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	12
2	2	6	6	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	13
2	2	4	4	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	14
2	2	6	6	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	15
2	2	4	4	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	16
2	2	6	6	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	17
2	2	4	4	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	18
2	2	6	6	2.0	1/2	1/2	Chord	4/4	4	1	1/2	1/2	1	19
3	3	8	8	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	20
3	3	9	9	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	21
3	3	10	10	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	22
3	3	8	8	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	23
3	3	9	9	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	24
3	3	10	10	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	25
3	3	8	8	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	26
3	3	9	9	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	27
3	3	10	10	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	28
3	3	8	8	1.0	0	0	Chord	4/4	4	1	1/4	1/4	1	29
3	3	9	9	1.0	1/4	1/4	Chord	4/4	4	1	1/4	1/4	1	30
3	3	10	10	2.0	1/2	1/2	Chord	4/4	4	1	1/2	1/2	1	31
4	4	14	14	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	32
4	4	14	14	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	33
4	4	14	14	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	34
4	4	14	14	2.0	1/2	1/2	Chord	4/4	4	1	1/2	1/2	1	35
5	5	16	16	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	36
5	5	17	17	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	37
5	5	18	18	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	38
5	5	19	19	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	39
5	5	16	16	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	40
5	5	17	17	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	41
5	5	18	18	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	42
5	5	19	19	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	43
5	5	16	16	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	44
5	5	17	17	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	45
5	5	18	18	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	46
5	5	19	19	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	47
5	5	16	16	1.0	0	0	Chord	4/4	4	1	1/4	1/4	1	48
5	5	17	17	1.0	1/4	1/4	Chord	4/4	4	1	1/4	1/4	1	49
5	5	18	18	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	50
5	5	19	19	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	51
6	6	20	20	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	52
6	6	22	22	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	53
6	6	20	20	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	54
6	6	21	21	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	55
6	6	22	22	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	56
6	6	20	20	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	57
6	6	22	22	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	58
6	6	20	20	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	59
6	6	22	22	2.0	1/2	1/2	Chord	4/4	4	1	1/2	1/2	1	60
7	7	26	26	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	61
7	7	26	26	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	62
7	7	26	26	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	63
7	7	26	26	2.0	1/2	1/2	Chord	4/4	4	1	1/2	1/2	1	64
8	8	28	28	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	65
8	8	29	29	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	66
8	8	30	30	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	67
8	8	31	31	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	68
8	8	28	28	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	69
8	8	29	29	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	70
8	8	30	30	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	71
8	8	31	31	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	72
8	8	28	28	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	73
8	8	29	29	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	74
8	8	30	30	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	75
8	8	31	31	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	76
8	8	28	28	1.0	0	0	Chord	4/4	4	1	1/4	1/4	1	77
8	8	29	29	1.0	1/4	1/4	Chord	4/4	4	1	1/4	1/4	1	78
8	8	30	30	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	79
8	8	31	31	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	80
9	9	32	32	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	81
