piece	TimeSig	KeySig	last_mc	last_mn	length_qb	last_mc_unfolded	last_mn_unfolded	length_qb_unfolded	all_notes_qb	n_onsets	n_onset_positions	guitar_chord_count	form_label_count	label_count	composer	workTitle	movementNumber	movementTitle	workNumber	poet	lyricist	arranger	copyright	creationDate	platform	source	translator	title_text	composer_text	musescore	ms3_version	subdirectory	rel_path	has_drumset	ambitus	originalFormat	staff_1_instrument	staff_1_ambitus	staff_2_instrument	staff_2_ambitus	staff_3_instrument	staff_3_ambitus	staff_4_instrument	staff_4_ambitus
Goudimel_001_modern	1: 4/4	1: 2	28	28	112.0	28	28	112.0	408.0	257	75	0	0	0	Claude Goudimel	Psalm 1: Qui au conseil des malins		Psalm 1: Qui au conseil des malins						2025-01-28	Linux			Psalm 1: Qui au conseil des malins	Claude Goudimel	3.6.2	2.5.3	MS3/001	MS3/001/Goudimel_001_modern.mscx	False	43-74 (G2-D5)	mxl		62-74 (D4-D5)		57-69 (A3-A4)		54-66 (F#3-F#4)		43-54 (G2-F#3)
Goudimel_003_modern	1: 4/4	1: 2	33	33	132.0	33	33	132.0	432.0	304	79	0	0	0	Claude Goudimel	Psalm 3: O Seigneur, que de gens		Psalm 3: O Seigneur, que de gens						2025-01-28	Linux			Psalm 3: O Seigneur, que de gens	Claude Goudimel	3.6.2	2.5.3	MS3/003	MS3/003/Goudimel_003_modern.mscx	False	43-74 (G2-D5)	mxl		62-74 (D4-D5)		57-67 (A3-G4)		49-62 (C#3-D4)		43-59 (G2-B3)
Goudimel_021_modern	1: 4/4	1: 2	19	19	76.0	19	19	76.0	264.0	168	46	0	0	0	Claude Goudimel	Psalm 21: Seigneur, le Roy s'esjouira		Psalm 21: Seigneur, le Roy s'esjouira						2025-01-28	Linux			Psalm 21: Seigneur, le Roy s'esjouira	Claude Goudimel	3.6.2	2.5.3	MS3/021	MS3/021/Goudimel_021_modern.mscx	False	43-74 (G2-D5)	mxl		62-74 (D4-D5)		57-69 (A3-A4)		54-66 (F#3-F#4)		43-57 (G2-A3)
Goudimel_025_modern	1: 4/4	1: 1	27	27	108.0	27	27	108.0	376.0	242	65	0	0	0	Claude Goudimel	Psalm 25: A toy, mon Dieu, mon coeur		Psalm 25: A toy, mon Dieu, mon coeur						2025-01-28	Linux			Psalm 25: A toy, mon Dieu, mon coeur	Claude Goudimel	3.6.2	2.5.3	MS3/025	MS3/025/Goudimel_025_modern.mscx	False	43-74 (G2-D5)	mxl		62-74 (D4-D5)		59-67 (B3-G4)		55-64 (G3-E4)		43-55 (G2-G3)
Goudimel_029_modern	1: 4/4	1: 2	27	27	108.0	27	27	108.0	368.0	240	63	0	0	0	Claude Goudimel	Psalm 29: Vous tous, Princes et Seigneurs		Psalm 29: Vous tous, Princes et Seigneurs						2025-01-28	Linux			Psalm 29: Vous tous, Princes et Seigneurs	Claude Goudimel	3.6.2	2.5.3	MS3/029	MS3/029/Goudimel_029_modern.mscx	False	43-74 (G2-D5)	mxl		62-74 (D4-D5)		57-69 (A3-A4)		54-66 (F#3-F#4)		43-54 (G2-F#3)
Goudimel_032_modern	1: 4/4	1: 2	35	35	140.0	35	35	140.0	504.0	337	91	0	0	0	Claude Goudimel	Psalm 32: O bien-heureux celui dont		Psalm 32: O bien-heureux celui dont						2025-01-28	Linux			Psalm 32: O bien-heureux celui dont	Claude Goudimel	3.6.2	2.5.3	MS3/032	MS3/032/Goudimel_032_modern.mscx	False	43-74 (G2-D5)	mxl		62-74 (D4-D5)		57-69 (A3-A4)		54-66 (F#3-F#4)		43-57 (G2-A3)
Goudimel_035_modern	1: 4/4	1: -1	28	28	112.0	28	28	112.0	392.0	264	68	0	0	0	Claude Goudimel	Psalm 35: Deba contre mes debateurs		Psalm 35: Deba contre mes debateurs						2025-01-28	Linux			Psalm 35: Deba contre mes debateurs	Claude Goudimel	3.6.2	2.5.3	MS3/035	MS3/035/Goudimel_035_modern.mscx	False	41-74 (F2-D5)	mxl		60-74 (C4-D5)		57-65 (A3-F4)		48-62 (C3-D4)		41-55 (F2-G3)
Goudimel_036_modern	1: 4/4	1: 2	36	36	144.0	36	36	144.0	488.0	368	95	0	0	0	Claude Goudimel	Psalm 36: Du malin le meschant vouloir		Psalm 36: Du malin le meschant vouloir						2025-01-28	Linux			Psalm 36: Du malin le meschant vouloir	Claude Goudimel	3.6.2	2.5.3	MS3/036	MS3/036/Goudimel_036_modern.mscx	False	43-74 (G2-D5)	mxl		62-74 (D4-D5)		57-69 (A3-A4)		50-64 (D3-E4)		43-52 (G2-E3)
Goudimel_042_modern	1: 4/4	1: -1	27	27	108.0	27	27	108.0	376.0	240	61	0	0	0	Claude Goudimel	Psalm 42: Ainsi qu'on oit le cerf		Psalm 42: Ainsi qu'on oit le cerf						2025-01-28	Linux			Psalm 42: Ainsi qu'on oit le cerf	Claude Goudimel	3.6.2	2.5.3	MS3/042	MS3/042/Goudimel_042_modern.mscx	False	41-74 (F2-D5)	mxl		60-74 (C4-D5)		57-67 (A3-G4)		52-63 (E3-Eb4)		41-55 (F2-G3)
Goudimel_043_modern	1: 4/4	1: 1	20	20	80.0	20	20	80.0	292.0	198	54	0	0	0	Claude Goudimel	Psalm 43: Revenge-moy, pren la querele		Psalm 43: Revenge-moy, pren la querele						2025-01-28	Linux			Psalm 43: Revenge-moy, pren la querele	Claude Goudimel	3.6.2	2.5.3	MS3/043	MS3/043/Goudimel_043_modern.mscx	False	43-74 (G2-D5)	mxl		62-74 (D4-D5)		60-69 (C4-A4)		55-64 (G3-E4)		43-59 (G2-B3)
