mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	2.0	0	0	4/4	4	1	1/2	1/2	1		1	55	G3	3	6
1	1	0	0	2.0	0	0	4/4	3	1	1/2	1/2	1		5	59	B3	3	4
1	1	0	0	2.0	0	0	4/4	2	1	1/2	1/2	1		2	62	D4	4	2
1	1	0	0	2.0	0	0	4/4	1	1	1/2	1/2	1		1	67	G4	4	0
1	1	2	2	2.0	1/2	1/2	4/4	4	1	1/2	1/2	1		4	52	E3	3	7
1	1	2	2	2.0	1/2	1/2	4/4	3	1	1/2	1/2	1		5	59	B3	3	5
1	1	2	2	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		4	64	E4	4	3
1	1	2	2	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		1	67	G4	4	1
2	2	4	4	2.0	0	0	4/4	4	1	1/2	1/2	1		2	50	D3	3	17
2	2	4	4	2.0	0	0	4/4	3	1	1/2	1/2	1		2	62	D4	4	14
2	2	4	4	2.0	0	0	4/4	2	1	1/2	1/2	1		6	66	F#4	4	11
2	2	4	4	2.0	0	0	4/4	1	1	1/2	1/2	1		3	69	A4	4	8
2	2	6	6	1.0	1/2	1/2	4/4	4	1	1/4	1/4	1		1	55	G3	3	18
2	2	6	6	1.0	1/2	1/2	4/4	3	1	1/4	1/4	1		2	62	D4	4	15
2	2	6	6	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		1	67	G4	4	12
2	2	6	6	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		5	71	B4	4	9
2	2	7	7	1.0	3/4	3/4	4/4	4	1	1/4	1/4	1		1	55	G3	3	19
2	2	7	7	1.0	3/4	3/4	4/4	3	1	1/4	1/4	1		2	62	D4	4	16
2	2	7	7	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		1	67	G4	4	13
2	2	7	7	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		5	71	B4	4	10
3	3	8	8	1.0	0	0	4/4	4	1	1/4	1/4	1		0	48	C3	3	29
3	3	8	8	1.0	0	0	4/4	3	1	1/4	1/4	1		4	64	E4	4	26
3	3	8	8	1.0	0	0	4/4	2	1	1/4	1/4	1		1	67	G4	4	23
3	3	8	8	1.0	0	0	4/4	1	1	1/4	1/4	1		0	72	C5	5	20
3	3	9	9	1.0	1/4	1/4	4/4	4	1	1/4	1/4	1		1	43	G2	2	30
3	3	9	9	2.0	1/4	1/4	4/4	3	1	1/2	1/2	1		2	62	D4	4	27
3	3	9	9	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		1	67	G4	4	24
3	3	9	9	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		5	71	B4	4	21
3	3	10	10	2.0	1/2	1/2	4/4	4	1	1/2	1/2	1		3	45	A2	2	31
3	3	10	10	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		4	64	E4	4	25
3	3	10	10	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		3	69	A4	4	22
3	3	11	11	1.0	3/4	3/4	4/4	3	1	1/4	1/4	1		7	61	C#4	4	28
4	4	12	12	2.0	0	0	4/4	4	1	1/2	1/2	1		2	50	D3	3	38
4	4	12	12	2.0	0	0	4/4	3	1	1/2	1/2	1		2	62	D4	4	36
4	4	12	12	2.0	0	0	4/4	2	1	1/2	1/2	1		6	66	F#4	4	34
4	4	12	12	2.0	0	0	4/4	1	1	1/2	1/2	1		3	69	A4	4	32
4	4	14	14	2.0	1/2	1/2	4/4	4	1	1/2	1/2	1		1	43	G2	2	39
4	4	14	14	2.0	1/2	1/2	4/4	3	1	1/2	1/2	1		5	59	B3	3	37
4	4	14	14	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		2	62	D4	4	35
4	4	14	14	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		1	67	G4	4	33
5	5	18	18	2.0	1/2	1/2	4/4	4	1	1/2	1/2	1		1	55	G3	3	43
5	5	18	18	2.0	1/2	1/2	4/4	3	1	1/2	1/2	1		5	59	B3	3	42
5	5	18	18	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		1	67	G4	4	41
5	5	18	18	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		2	74	D5	5	40
6	6	20	20	1.0	0	0	4/4	4	1	1/4	1/4	1		1	55	G3	3	53
6	6	20	20	1.0	0	0	4/4	3	1	1/4	1/4	1		5	59	B3	3	50
6	6	20	20	1.0	0	0	4/4	2	1	1/4	1/4	1		1	67	G4	4	47
6	6	20	20	1.0	0	0	4/4	1	1	1/4	1/4	1		2	74	D5	5	44
6	6	21	21	1.0	1/4	1/4	4/4	4	1	1/4	1/4	1		0	48	C3	3	54
6	6	21	21	1.0	1/4	1/4	4/4	3	1	1/4	1/4	1		4	64	E4	4	51
6	6	21	21	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		1	67	G4	4	48
6	6	21	21	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		0	72	C5	5	45
6	6	22	22	2.0	1/2	1/2	4/4	4	1	1/2	1/2	1		1	55	G3	3	55
6	6	22	22	2.0	1/2	1/2	4/4	3	1	1/2	1/2	1		2	62	D4	4	52
6	6	22	22	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		1	67	G4	4	49
6	6	22	22	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		5	71	B4	4	46
7	7	24	24	2.0	0	0	4/4	4	1	1/2	1/2	1		1	43	G2	2	65
7	7	24	24	2.0	0	0	4/4	3	1	1/2	1/2	1		5	59	B3	3	62
7	7	24	24	2.0	0	0	4/4	2	1	1/2	1/2	1		1	67	G4	4	59
7	7	24	24	2.0	0	0	4/4	1	1	1/2	1/2	1		2	74	D5	5	56
7	7	26	26	1.0	1/2	1/2	4/4	4	1	1/4	1/4	1		3	45	A2	2	66
7	7	26	26	1.0	1/2	1/2	4/4	3	1	1/4	1/4	1		3	57	A3	3	63
7	7	26	26	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		4	64	E4	4	60
7	7	26	26	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		0	72	C5	5	57
7	7	27	27	1.0	3/4	3/4	4/4	4	1	1/4	1/4	1		5	47	B2	2	67
7	7	27	27	1.0	3/4	3/4	4/4	3	1	1/4	1/4	1		6	54	F#3	3	64
7	7	27	27	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		2	62	D4	4	61
7	7	27	27	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		5	71	B4	4	58
8	8	28	28	1.0	0	0	4/4	4	1	1/4	1/4	1		1	43	G2	2	77
8	8	28	28	1.0	0	0	4/4	3	1	1/4	1/4	1		1	55	G3	3	74
8	8	28	28	1.0	0	0	4/4	2	1	1/4	1/4	1		2	62	D4	4	71
8	8	28	28	1.0	0	0	4/4	1	1	1/4	1/4	1		5	71	B4	4	68
8	8	29	29	1.0	1/4	1/4	4/4	4	1	1/4	1/4	1		0	48	C3	3	78
8	8	29	29	1.0	1/4	1/4	4/4	3	1	1/4	1/4	1		4	52	E3	3	75
8	8	29	29	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		4	64	E4	4	72
8	8	29	29	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		3	69	A4	4	69
8	8	30	30	2.0	1/2	1/2	4/4	4	1	1/2	1/2	1		5	47	B2	2	79
8	8	30	30	2.0	1/2	1/2	4/4	3	1	1/2	1/2	1		6	54	F#3	3	76
8	8	30	30	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		-3	63	Eb4	4	73
8	8	30	30	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		5	71	B4	4	70
9	9	34	34	2.0	1/2	1/2	4/4	4	1	1/2	1/2	1		1	43	G2	2	83
9	9	34	34	2.0	1/2	1/2	4/4	3	1	1/2	1/2	1		2	62	D4	4	82
9	9	34	34	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		1	67	G4	4	81
9	9	34	34	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		5	71	B4	4	80
10	10	36	36	1.0	0	0	4/4	4	1	1/4	1/4	1		1	43	G2	2	93
10	10	36	36	1.0	0	0	4/4	3	1	1/4	1/4	1		2	62	D4	4	90
10	10	36	36	1.0	0	0	4/4	2	1	1/4	1/4	1		1	67	G4	4	87
10	10	36	36	1.0	0	0	4/4	1	1	1/4	1/4	1		5	71	B4	4	84
10	10	37	37	1.0	1/4	1/4	4/4	4	1	1/4	1/4	1		1	43	G2	2	94
10	10	37	37	1.0	1/4	1/4	4/4	3	1	1/4	1/4	1		2	62	D4	4	91
10	10	37	37	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		1	67	G4	4	88
10	10	37	37	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		5	71	B4	4	85
10	10	38	38	2.0	1/2	1/2	4/4	4	1	1/2	1/2	1		2	50	D3	3	95
10	10	38	38	2.0	1/2	1/2	4/4	3	1	1/2	1/2	1		2	62	D4	4	92
10	10	38	38	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		6	66	F#4	4	89
10	10	38	38	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		3	69	A4	4	86
11	11	40	40	2.0	0	0	4/4	4	1	1/2	1/2	1		1	43	G2	2	105
11	11	40	40	2.0	0	0	4/4	3	1	1/2	1/2	1		2	62	D4	4	102
11	11	40	40	2.0	0	0	4/4	2	1	1/2	1/2	1		1	67	G4	4	99
11	11	40	40	2.0	0	0	4/4	1	1	1/2	1/2	1		5	71	B4	4	96
11	11	42	42	1.0	1/2	1/2	4/4	4	1	1/4	1/4	1		0	48	C3	3	106
11	11	42	42	1.0	1/2	1/2	4/4	3	1	1/4	1/4	1		4	64	E4	4	103
11	11	42	42	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		1	67	G4	4	100
11	11	42	42	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		0	72	C5	5	97
11	11	43	43	1.0	3/4	3/4	4/4	4	1	1/4	1/4	1		1	43	G2	2	107
11	11	43	43	1.0	3/4	3/4	4/4	3	1	1/4	1/4	1		2	62	D4	4	104
11	11	43	43	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		1	67	G4	4	101
11	11	43	43	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		5	71	B4	4	98
12	12	44	44	1.0	0	0	4/4	4	1	1/4	1/4	1		2	50	D3	3	117
12	12	44	44	1.0	0	0	4/4	3	1	1/4	1/4	1		2	62	D4	4	114
12	12	44	44	1.0	0	0	4/4	2	1	1/4	1/4	1		6	66	F#4	4	111
12	12	44	44	1.0	0	0	4/4	1	1	1/4	1/4	1		3	69	A4	4	108
12	12	45	45	1.0	1/4	1/4	4/4	4	1	1/4	1/4	1		4	52	E3	3	118
12	12	45	45	1.0	1/4	1/4	4/4	3	1	1/4	1/4	1		1	55	G3	3	115
12	12	45	45	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		5	59	B3	3	112
12	12	45	45	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		1	67	G4	4	109
12	12	46	46	2.0	1/2	1/2	4/4	4	1	1/2	1/2	1		2	50	D3	3	119
12	12	46	46	2.0	1/2	1/2	4/4	3	1	1/2	1/2	1		3	57	A3	3	116
12	12	46	46	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		2	62	D4	4	113
12	12	46	46	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		6	66	F#4	4	110
13	13	50	50	2.0	1/2	1/2	4/4	4	1	1/2	1/2	1		1	43	G2	2	123
13	13	50	50	2.0	1/2	1/2	4/4	3	1	1/2	1/2	1		5	59	B3	3	122
13	13	50	50	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		2	62	D4	4	121
13	13	50	50	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		1	67	G4	4	120
14	14	52	52	1.0	0	0	4/4	4	1	1/4	1/4	1		0	48	C3	3	133
14	14	52	52	1.0	0	0	4/4	3	1	1/4	1/4	1		1	55	G3	3	130
14	14	52	52	1.0	0	0	4/4	2	1	1/4	1/4	1		0	60	C4	4	127
14	14	52	52	1.0	0	0	4/4	1	1	1/4	1/4	1		4	64	E4	4	124
14	14	53	53	1.0	1/4	1/4	4/4	4	1	1/4	1/4	1		3	45	A2	2	134
14	14	53	53	1.0	1/4	1/4	4/4	3	1	1/4	1/4	1		0	60	C4	4	131
14	14	53	53	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		4	64	E4	4	128
